Date	Close
10/1/1985 16:00:00	2.43
10/2/1985 16:00:00	2.41
10/3/1985 16:00:00	2.41
10/4/1985 16:00:00	2.39
10/7/1985 16:00:00	2.35
10/8/1985 16:00:00	2.33
10/9/1985 16:00:00	2.36
10/10/1985 16:00:00	2.38
10/11/1985 16:00:00	2.41
10/14/1985 16:00:00	2.46
10/15/1985 16:00:00	2.46
10/16/1985 16:00:00	2.48
10/17/1985 16:00:00	2.49
10/18/1985 16:00:00	2.48
10/21/1985 16:00:00	2.47
10/22/1985 16:00:00	2.48
10/23/1985 16:00:00	2.5
10/24/1985 16:00:00	2.51
10/25/1985 16:00:00	2.47
10/28/1985 16:00:00	2.47
10/29/1985 16:00:00	2.5
10/30/1985 16:00:00	2.51
10/31/1985 16:00:00	2.51
11/1/1985 16:00:00	2.52
11/4/1985 16:00:00	2.52
11/5/1985 16:00:00	2.53
11/6/1985 16:00:00	2.55
11/7/1985 16:00:00	2.55
11/8/1985 16:00:00	2.59
11/11/1985 16:00:00	2.61
11/12/1985 16:00:00	2.64
11/13/1985 16:00:00	2.63
11/14/1985 16:00:00	2.64
11/15/1985 16:00:00	2.65
11/18/1985 16:00:00	2.65
11/19/1985 16:00:00	2.66
11/20/1985 16:00:00	2.65
11/21/1985 16:00:00	2.68
11/22/1985 16:00:00	2.69
11/25/1985 16:00:00	2.67
11/26/1985 16:00:00	2.69
11/27/1985 16:00:00	2.73
11/29/1985 16:00:00	2.74
12/2/1985 16:00:00	2.72
12/3/1985 16:00:00	2.72
12/4/1985 16:00:00	2.78
12/5/1985 16:00:00	2.79
12/6/1985 16:00:00	2.75
12/9/1985 16:00:00	2.77
12/10/1985 16:00:00	2.78
12/11/1985 16:00:00	2.8
12/12/1985 16:00:00	2.82
12/13/1985 16:00:00	2.87
12/16/1985 16:00:00	2.88
12/17/1985 16:00:00	2.85
12/18/1985 16:00:00	2.85
12/19/1985 16:00:00	2.86
12/20/1985 16:00:00	2.87
12/23/1985 16:00:00	2.84
12/24/1985 16:00:00	2.82
12/26/1985 16:00:00	2.83
12/27/1985 16:00:00	2.85
12/30/1985 16:00:00	2.86
12/31/1985 16:00:00	2.87
1/2/1986 16:00:00	2.85
1/3/1986 16:00:00	2.83
1/6/1986 16:00:00	2.83
1/7/1986 16:00:00	2.88
1/8/1986 16:00:00	2.85
1/9/1986 16:00:00	2.79
1/10/1986 16:00:00	2.81
1/13/1986 16:00:00	2.8
1/14/1986 16:00:00	2.8
1/15/1986 16:00:00	2.85
1/16/1986 16:00:00	2.89
1/17/1986 16:00:00	2.88
1/20/1986 16:00:00	2.86
1/21/1986 16:00:00	2.84
1/22/1986 16:00:00	2.81
1/23/1986 16:00:00	2.8
1/24/1986 16:00:00	2.82
1/27/1986 16:00:00	2.84
1/28/1986 16:00:00	2.86
1/29/1986 16:00:00	2.89
1/30/1986 16:00:00	2.87
1/31/1986 16:00:00	2.88
2/3/1986 16:00:00	2.91
2/4/1986 16:00:00	2.92
2/5/1986 16:00:00	2.94
2/6/1986 16:00:00	2.96
2/7/1986 16:00:00	2.98
2/10/1986 16:00:00	3.0
2/11/1986 16:00:00	3.0
2/12/1986 16:00:00	3.01
2/13/1986 16:00:00	3.02
2/14/1986 16:00:00	3.04
2/18/1986 16:00:00	3.05
2/19/1986 16:00:00	3.03
2/20/1986 16:00:00	3.04
2/21/1986 16:00:00	3.06
2/24/1986 16:00:00	3.04
2/25/1986 16:00:00	3.02
2/26/1986 16:00:00	3.01
2/27/1986 16:00:00	3.05
2/28/1986 16:00:00	3.05
3/3/1986 16:00:00	3.03
3/4/1986 16:00:00	3.05
3/5/1986 16:00:00	3.04
3/6/1986 16:00:00	3.05
3/7/1986 16:00:00	3.05
3/10/1986 16:00:00	3.09
3/11/1986 16:00:00	3.15
3/12/1986 16:00:00	3.18
3/13/1986 16:00:00	3.19
3/14/1986 16:00:00	3.19
3/17/1986 16:00:00	3.17
3/18/1986 16:00:00	3.2
3/19/1986 16:00:00	3.2
3/20/1986 16:00:00	3.21
3/21/1986 16:00:00	3.21
3/24/1986 16:00:00	3.19
3/25/1986 16:00:00	3.2
3/26/1986 16:00:00	3.19
3/27/1986 16:00:00	3.22
3/31/1986 16:00:00	3.23
4/1/1986 16:00:00	3.22
4/2/1986 16:00:00	3.23
4/3/1986 16:00:00	3.22
4/4/1986 16:00:00	3.19
4/7/1986 16:00:00	3.17
4/8/1986 16:00:00	3.23
4/9/1986 16:00:00	3.23
4/10/1986 16:00:00	3.29
4/11/1986 16:00:00	3.31
4/14/1986 16:00:00	3.34
4/15/1986 16:00:00	3.36
4/16/1986 16:00:00	3.45
4/17/1986 16:00:00	3.45
4/18/1986 16:00:00	3.42
4/21/1986 16:00:00	3.44
4/22/1986 16:00:00	3.42
4/23/1986 16:00:00	3.41
4/24/1986 16:00:00	3.47
4/25/1986 16:00:00	3.48
4/28/1986 16:00:00	3.47
4/29/1986 16:00:00	3.43
4/30/1986 16:00:00	3.36
5/1/1986 16:00:00	3.34
5/2/1986 16:00:00	3.36
5/5/1986 16:00:00	3.41
5/6/1986 16:00:00	3.41
5/7/1986 16:00:00	3.39
5/8/1986 16:00:00	3.41
5/9/1986 16:00:00	3.42
5/12/1986 16:00:00	3.42
5/13/1986 16:00:00	3.4
5/14/1986 16:00:00	3.4
5/15/1986 16:00:00	3.38
5/16/1986 16:00:00	3.36
5/19/1986 16:00:00	3.37
5/20/1986 16:00:00	3.4
5/21/1986 16:00:00	3.41
5/22/1986 16:00:00	3.46
5/23/1986 16:00:00	3.47
5/27/1986 16:00:00	3.49
5/28/1986 16:00:00	3.5
5/29/1986 16:00:00	3.5
5/30/1986 16:00:00	3.54
6/2/1986 16:00:00	3.51
6/3/1986 16:00:00	3.51
6/4/1986 16:00:00	3.51
6/5/1986 16:00:00	3.52
6/6/1986 16:00:00	3.51
6/9/1986 16:00:00	3.44
6/10/1986 16:00:00	3.43
6/11/1986 16:00:00	3.47
6/12/1986 16:00:00	3.48
6/13/1986 16:00:00	3.52
6/16/1986 16:00:00	3.49
6/17/1986 16:00:00	3.44
6/18/1986 16:00:00	3.44
6/19/1986 16:00:00	3.45
6/20/1986 16:00:00	3.46
6/23/1986 16:00:00	3.46
6/24/1986 16:00:00	3.49
6/25/1986 16:00:00	3.51
6/26/1986 16:00:00	3.51
6/27/1986 16:00:00	3.5
6/30/1986 16:00:00	3.52
7/1/1986 16:00:00	3.54
7/2/1986 16:00:00	3.55
7/3/1986 16:00:00	3.57
7/7/1986 16:00:00	3.42
7/8/1986 16:00:00	3.32
7/9/1986 16:00:00	3.37
7/10/1986 16:00:00	3.34
7/11/1986 16:00:00	3.31
7/14/1986 16:00:00	3.24
7/15/1986 16:00:00	3.17
7/16/1986 16:00:00	3.19
7/17/1986 16:00:00	3.22
7/18/1986 16:00:00	3.2
7/21/1986 16:00:00	3.19
7/22/1986 16:00:00	3.19
7/23/1986 16:00:00	3.19
7/24/1986 16:00:00	3.19
7/25/1986 16:00:00	3.21
7/28/1986 16:00:00	3.15
7/29/1986 16:00:00	3.13
7/30/1986 16:00:00	3.13
7/31/1986 16:00:00	3.14
8/1/1986 16:00:00	3.12
8/4/1986 16:00:00	3.09
8/5/1986 16:00:00	3.07
8/6/1986 16:00:00	3.05
8/7/1986 16:00:00	3.05
8/8/1986 16:00:00	3.08
8/11/1986 16:00:00	3.15
8/12/1986 16:00:00	3.19
8/13/1986 16:00:00	3.23
8/14/1986 16:00:00	3.25
8/15/1986 16:00:00	3.24
8/18/1986 16:00:00	3.23
8/19/1986 16:00:00	3.22
8/20/1986 16:00:00	3.24
8/21/1986 16:00:00	3.25
8/22/1986 16:00:00	3.27
8/25/1986 16:00:00	3.25
8/26/1986 16:00:00	3.28
8/27/1986 16:00:00	3.29
8/28/1986 16:00:00	3.29
8/29/1986 16:00:00	3.29
9/2/1986 16:00:00	3.24
9/3/1986 16:00:00	3.25
9/4/1986 16:00:00	3.28
9/5/1986 16:00:00	3.24
9/8/1986 16:00:00	3.18
9/9/1986 16:00:00	3.16
9/10/1986 16:00:00	3.14
9/11/1986 16:00:00	3.0
9/12/1986 16:00:00	2.93
9/15/1986 16:00:00	2.92
9/16/1986 16:00:00	2.93
9/17/1986 16:00:00	2.95
9/18/1986 16:00:00	2.99
9/19/1986 16:00:00	3.0
9/22/1986 16:00:00	3.04
9/23/1986 16:00:00	3.02
9/24/1986 16:00:00	3.02
9/25/1986 16:00:00	2.98
9/26/1986 16:00:00	2.98
9/29/1986 16:00:00	2.94
9/30/1986 16:00:00	2.98
10/1/1986 16:00:00	3.0
10/2/1986 16:00:00	2.99
10/3/1986 16:00:00	3.0
10/6/1986 16:00:00	3.01
10/7/1986 16:00:00	3.0
10/8/1986 16:00:00	3.02
10/9/1986 16:00:00	3.01
10/10/1986 16:00:00	3.03
10/13/1986 16:00:00	3.05
10/14/1986 16:00:00	3.05
10/15/1986 16:00:00	3.08
10/16/1986 16:00:00	3.07
