Date	Close
2/11/2010 16:00:00	0.21
2/12/2010 16:00:00	0.21
2/16/2010 16:00:00	0.21
2/17/2010 16:00:00	0.22
2/18/2010 16:00:00	0.22
2/19/2010 16:00:00	0.22
2/22/2010 16:00:00	0.22
2/23/2010 16:00:00	0.21
2/24/2010 16:00:00	0.22
2/25/2010 16:00:00	0.22
2/26/2010 16:00:00	0.22
3/1/2010 16:00:00	0.23
3/2/2010 16:00:00	0.23
3/3/2010 16:00:00	0.23
3/4/2010 16:00:00	0.24
3/5/2010 16:00:00	0.25
3/8/2010 16:00:00	0.25
3/9/2010 16:00:00	0.25
3/10/2010 16:00:00	0.26
3/11/2010 16:00:00	0.26
3/12/2010 16:00:00	0.26
3/15/2010 16:00:00	0.26
3/16/2010 16:00:00	0.26
3/17/2010 16:00:00	0.27
3/18/2010 16:00:00	0.27
3/19/2010 16:00:00	0.26
3/22/2010 16:00:00	0.27
3/23/2010 16:00:00	0.28
3/24/2010 16:00:00	0.27
3/25/2010 16:00:00	0.27
3/26/2010 16:00:00	0.27
3/29/2010 16:00:00	0.28
3/30/2010 16:00:00	0.28
3/31/2010 16:00:00	0.28
4/1/2010 16:00:00	0.28
4/5/2010 16:00:00	0.28
4/6/2010 16:00:00	0.29
4/7/2010 16:00:00	0.28
4/8/2010 16:00:00	0.28
4/9/2010 16:00:00	0.29
4/12/2010 16:00:00	0.29
4/13/2010 16:00:00	0.3
4/14/2010 16:00:00	0.31
4/15/2010 16:00:00	0.31
4/16/2010 16:00:00	0.3
4/19/2010 16:00:00	0.3
4/20/2010 16:00:00	0.3
4/21/2010 16:00:00	0.31
4/22/2010 16:00:00	0.31
4/23/2010 16:00:00	0.32
4/26/2010 16:00:00	0.31
4/27/2010 16:00:00	0.3
4/28/2010 16:00:00	0.3
4/29/2010 16:00:00	0.31
4/30/2010 16:00:00	0.29
5/3/2010 16:00:00	0.3
5/4/2010 16:00:00	0.28
5/5/2010 16:00:00	0.27
5/6/2010 16:00:00	0.25
5/7/2010 16:00:00	0.23
5/10/2010 16:00:00	0.26
5/11/2010 16:00:00	0.26
5/12/2010 16:00:00	0.28
5/13/2010 16:00:00	0.26
5/14/2010 16:00:00	0.25
5/17/2010 16:00:00	0.25
5/18/2010 16:00:00	0.24
5/19/2010 16:00:00	0.24
5/20/2010 16:00:00	0.21
5/21/2010 16:00:00	0.21
5/24/2010 16:00:00	0.21
5/25/2010 16:00:00	0.21
5/26/2010 16:00:00	0.21
5/27/2010 16:00:00	0.23
5/28/2010 16:00:00	0.23
6/1/2010 16:00:00	0.22
6/2/2010 16:00:00	0.24
6/3/2010 16:00:00	0.24
6/4/2010 16:00:00	0.22
6/7/2010 16:00:00	0.2
6/8/2010 16:00:00	0.2
6/9/2010 16:00:00	0.2
6/10/2010 16:00:00	0.22
6/11/2010 16:00:00	0.22
6/14/2010 16:00:00	0.22
6/15/2010 16:00:00	0.24
6/16/2010 16:00:00	0.24
6/17/2010 16:00:00	0.24
6/18/2010 16:00:00	0.25
6/21/2010 16:00:00	0.24
6/22/2010 16:00:00	0.23
6/23/2010 16:00:00	0.23
6/24/2010 16:00:00	0.22
6/25/2010 16:00:00	0.22
6/28/2010 16:00:00	0.22
6/29/2010 16:00:00	0.19
6/30/2010 16:00:00	0.18
7/1/2010 16:00:00	0.18
7/2/2010 16:00:00	0.18
7/6/2010 16:00:00	0.18
7/7/2010 16:00:00	0.2
7/8/2010 16:00:00	0.2
7/9/2010 16:00:00	0.21
7/12/2010 16:00:00	0.21
7/13/2010 16:00:00	0.22
7/14/2010 16:00:00	0.22
7/15/2010 16:00:00	0.22
7/16/2010 16:00:00	0.2
7/19/2010 16:00:00	0.21
7/20/2010 16:00:00	0.21
7/21/2010 16:00:00	0.21
7/22/2010 16:00:00	0.22
7/23/2010 16:00:00	0.23
7/26/2010 16:00:00	0.23
7/27/2010 16:00:00	0.23
7/28/2010 16:00:00	0.23
7/29/2010 16:00:00	0.22
7/30/2010 16:00:00	0.22
8/2/2010 16:00:00	0.24
8/3/2010 16:00:00	0.23
8/4/2010 16:00:00	0.24
8/5/2010 16:00:00	0.24
8/6/2010 16:00:00	0.24
8/9/2010 16:00:00	0.24
8/10/2010 16:00:00	0.24
8/11/2010 16:00:00	0.22
8/12/2010 16:00:00	0.21
8/13/2010 16:00:00	0.21
8/16/2010 16:00:00	0.21
8/17/2010 16:00:00	0.22
8/18/2010 16:00:00	0.22
8/19/2010 16:00:00	0.21
8/20/2010 16:00:00	0.21
8/23/2010 16:00:00	0.2
8/24/2010 16:00:00	0.19
8/25/2010 16:00:00	0.2
8/26/2010 16:00:00	0.19
8/27/2010 16:00:00	0.2
8/30/2010 16:00:00	0.19
8/31/2010 16:00:00	0.19
9/1/2010 16:00:00	0.21
9/2/2010 16:00:00	0.21
9/3/2010 16:00:00	0.22
9/7/2010 16:00:00	0.22
9/8/2010 16:00:00	0.23
9/9/2010 16:00:00	0.23
9/10/2010 16:00:00	0.23
9/13/2010 16:00:00	0.24
9/14/2010 16:00:00	0.24
9/15/2010 16:00:00	0.25
9/16/2010 16:00:00	0.25
9/17/2010 16:00:00	0.25
9/20/2010 16:00:00	0.27
9/21/2010 16:00:00	0.27
9/22/2010 16:00:00	0.27
9/23/2010 16:00:00	0.26
9/24/2010 16:00:00	0.28
9/27/2010 16:00:00	0.28
9/28/2010 16:00:00	0.28
9/29/2010 16:00:00	0.27
9/30/2010 16:00:00	0.27
10/1/2010 16:00:00	0.27
10/4/2010 16:00:00	0.26
10/5/2010 16:00:00	0.28
10/6/2010 16:00:00	0.27
10/7/2010 16:00:00	0.28
10/8/2010 16:00:00	0.28
10/11/2010 16:00:00	0.28
10/12/2010 16:00:00	0.29
10/13/2010 16:00:00	0.29
10/14/2010 16:00:00	0.29
10/15/2010 16:00:00	0.31
10/18/2010 16:00:00	0.31
10/19/2010 16:00:00	0.3
10/20/2010 16:00:00	0.31
10/21/2010 16:00:00	0.31
10/22/2010 16:00:00	0.31
10/25/2010 16:00:00	0.32
10/26/2010 16:00:00	0.32
10/27/2010 16:00:00	0.32
10/28/2010 16:00:00	0.33
10/29/2010 16:00:00	0.32
11/1/2010 16:00:00	0.32
11/2/2010 16:00:00	0.33
11/3/2010 16:00:00	0.34
11/4/2010 16:00:00	0.35
11/5/2010 16:00:00	0.35
11/8/2010 16:00:00	0.35
11/9/2010 16:00:00	0.35
11/10/2010 16:00:00	0.35
11/11/2010 16:00:00	0.35
11/12/2010 16:00:00	0.33
11/15/2010 16:00:00	0.33
11/16/2010 16:00:00	0.31
11/17/2010 16:00:00	0.31
11/18/2010 16:00:00	0.33
11/19/2010 16:00:00	0.33
11/22/2010 16:00:00	0.34
11/23/2010 16:00:00	0.32
11/24/2010 16:00:00	0.34
11/26/2010 16:00:00	0.34
11/29/2010 16:00:00	0.33
11/30/2010 16:00:00	0.32
12/1/2010 16:00:00	0.34
12/2/2010 16:00:00	0.35
12/3/2010 16:00:00	0.35
12/6/2010 16:00:00	0.35
12/7/2010 16:00:00	0.35
12/8/2010 16:00:00	0.36
12/9/2010 16:00:00	0.36
12/10/2010 16:00:00	0.37
12/13/2010 16:00:00	0.36
12/14/2010 16:00:00	0.36
12/15/2010 16:00:00	0.36
12/16/2010 16:00:00	0.37
12/17/2010 16:00:00	0.37
12/20/2010 16:00:00	0.37
12/21/2010 16:00:00	0.37
12/22/2010 16:00:00	0.38
12/23/2010 16:00:00	0.37
12/27/2010 16:00:00	0.37
12/28/2010 16:00:00	0.37
12/29/2010 16:00:00	0.37
12/30/2010 16:00:00	0.37
12/31/2010 16:00:00	0.37
1/3/2011 16:00:00	0.38
1/4/2011 16:00:00	0.38
1/5/2011 16:00:00	0.39
1/6/2011 16:00:00	0.4
1/7/2011 16:00:00	0.4
1/10/2011 16:00:00	0.4
1/11/2011 16:00:00	0.4
1/12/2011 16:00:00	0.41
1/13/2011 16:00:00	0.41
1/14/2011 16:00:00	0.42
1/18/2011 16:00:00	0.42
1/19/2011 16:00:00	0.41
1/20/2011 16:00:00	0.4
1/21/2011 16:00:00	0.39
1/24/2011 16:00:00	0.41
1/25/2011 16:00:00	0.41
1/26/2011 16:00:00	0.41
1/27/2011 16:00:00	0.42
1/28/2011 16:00:00	0.39
1/31/2011 16:00:00	0.4
2/1/2011 16:00:00	0.42
2/2/2011 16:00:00	0.42
2/3/2011 16:00:00	0.42
2/4/2011 16:00:00	0.43
2/7/2011 16:00:00	0.43
2/8/2011 16:00:00	0.44
2/9/2011 16:00:00	0.44
2/10/2011 16:00:00	0.44
2/11/2011 16:00:00	0.45
2/14/2011 16:00:00	0.45
2/15/2011 16:00:00	0.45
2/16/2011 16:00:00	0.46
2/17/2011 16:00:00	0.46
2/18/2011 16:00:00	0.46
2/22/2011 16:00:00	0.42
2/23/2011 16:00:00	0.41
2/24/2011 16:00:00	0.41
2/25/2011 16:00:00	0.43
2/28/2011 16:00:00	0.43
3/1/2011 16:00:00	0.41
3/2/2011 16:00:00	0.42
3/3/2011 16:00:00	0.44
